Chr17 Start	Chr17 End	Enrichment
(15710000, '\t', 15720000, '\t', 138.81414794921875)
(15710000, '\t', 15720000, '\t', 138.81414794921875)
(15580000, '\t', 15710000, '\t', 72.50402069091797)
(15710000, '\t', 15750000, '\t', 58.12177658081055)
(15620000, '\t', 15710000, '\t', 43.932865142822266)
(16920000, '\t', 16930000, '\t', 27.73270606994629)
(15570000, '\t', 15710000, '\t', 26.089933395385742)
(15800000, '\t', 16220000, '\t', 25.069841384887695)
(15530000, '\t', 15710000, '\t', 24.160717010498047)
(15530000, '\t', 15710000, '\t', 24.160717010498047)
(15570000, '\t', 15580000, '\t', 22.096250534057617)
(15580000, '\t', 16940000, '\t', 21.874422073364258)
(15710000, '\t', 15820000, '\t', 21.088642120361328)
(15530000, '\t', 15580000, '\t', 19.268205642700195)
(15530000, '\t', 15580000, '\t', 19.268205642700195)
(15580000, '\t', 15800000, '\t', 19.208181381225586)
(15560000, '\t', 15570000, '\t', 18.439613342285156)
(15510000, '\t', 15580000, '\t', 18.420879364013672)
(16920000, '\t', 16940000, '\t', 17.653589248657227)
(15820000, '\t', 15830000, '\t', 17.467666625976562)
(15770000, '\t', 15780000, '\t', 17.00119400024414)
(15580000, '\t', 15750000, '\t', 15.450732231140137)
(15780000, '\t', 16930000, '\t', 14.98615837097168)
(15410000, '\t', 15460000, '\t', 14.78878402709961)
(15410000, '\t', 15460000, '\t', 14.78878402709961)
(15370000, '\t', 15380000, '\t', 14.61002254486084)
(15720000, '\t', 15750000, '\t', 13.771617889404297)
(15720000, '\t', 15750000, '\t', 13.771617889404297)
(15780000, '\t', 15800000, '\t', 12.957615852355957)
(15800000, '\t', 15830000, '\t', 12.15857982635498)
(15460000, '\t', 15470000, '\t', 11.223821640014648)
(15460000, '\t', 15470000, '\t', 11.223821640014648)
(17390000, '\t', 17400000, '\t', 11.160054206848145)
(17390000, '\t', 17400000, '\t', 11.160054206848145)
(17390000, '\t', 17400000, '\t', 11.160054206848145)
(17390000, '\t', 17400000, '\t', 11.160054206848145)
(15620000, '\t', 15720000, '\t', 10.409639358520508)
(15620000, '\t', 15720000, '\t', 10.409639358520508)
(15580000, '\t', 15720000, '\t', 10.307646751403809)
(15580000, '\t', 15720000, '\t', 10.307646751403809)
(15720000, '\t', 15800000, '\t', 10.272436141967773)
(15720000, '\t', 15800000, '\t', 10.272436141967773)
(15570000, '\t', 15780000, '\t', 9.357331275939941)
(15750000, '\t', 15780000, '\t', 9.264785766601562)
(15530000, '\t', 15570000, '\t', 9.244658470153809)
(15530000, '\t', 15570000, '\t', 9.244658470153809)
(15830000, '\t', 16940000, '\t', 9.230855941772461)
(15770000, '\t', 16220000, '\t', 8.970869064331055)
(15360000, '\t', 15370000, '\t', 8.891883850097656)
(17380000, '\t', 17390000, '\t', 8.792701721191406)
(17380000, '\t', 17390000, '\t', 8.792701721191406)
(15470000, '\t', 15580000, '\t', 8.664033889770508)
(15060000, '\t', 15070000, '\t', 8.466917037963867)
(16900000, '\t', 16920000, '\t', 8.356240272521973)
(15750000, '\t', 15770000, '\t', 8.264891624450684)
(16900000, '\t', 17220000, '\t', 8.26276969909668)
(15580000, '\t', 15830000, '\t', 8.133502960205078)
(17370000, '\t', 17380000, '\t', 8.088891983032227)
(15450000, '\t', 15460000, '\t', 7.968863010406494)
(15450000, '\t', 15460000, '\t', 7.968863010406494)
(15450000, '\t', 15460000, '\t', 7.968863010406494)
(15450000, '\t', 15460000, '\t', 7.968863010406494)
(15580000, '\t', 15620000, '\t', 7.785893440246582)
(15060000, '\t', 15380000, '\t', 7.550329208374023)
(15360000, '\t', 15380000, '\t', 7.273105144500732)
(17380000, '\t', 17400000, '\t', 7.169110298156738)
(17380000, '\t', 17400000, '\t', 7.169110298156738)
(15430000, '\t', 15460000, '\t', 7.149780750274658)
(15430000, '\t', 15460000, '\t', 7.149780750274658)
(15410000, '\t', 15430000, '\t', 7.143024444580078)
(15830000, '\t', 16930000, '\t', 7.031015396118164)
(15580000, '\t', 16900000, '\t', 6.902768135070801)
(15580000, '\t', 15770000, '\t', 6.873361110687256)
(15770000, '\t', 15800000, '\t', 6.849882125854492)
(16630000, '\t', 16930000, '\t', 6.4240899085998535)
(15780000, '\t', 15820000, '\t', 6.302987098693848)
(15560000, '\t', 15720000, '\t', 6.222423076629639)
(15560000, '\t', 15720000, '\t', 6.222423076629639)
(15060000, '\t', 15460000, '\t', 6.202270984649658)
(15060000, '\t', 15460000, '\t', 6.202270984649658)
(15720000, '\t', 15820000, '\t', 5.996198654174805)
(15720000, '\t', 15820000, '\t', 5.996198654174805)
(15750000, '\t', 16940000, '\t', 5.845101833343506)
(15060000, '\t', 15470000, '\t', 5.832498073577881)
(15560000, '\t', 15580000, '\t', 5.817579746246338)
(15410000, '\t', 15470000, '\t', 5.689265251159668)
(15460000, '\t', 15530000, '\t', 5.628664970397949)
(15460000, '\t', 15530000, '\t', 5.628664970397949)
(15460000, '\t', 15530000, '\t', 5.628664970397949)
(15460000, '\t', 15530000, '\t', 5.628664970397949)
(15800000, '\t', 15820000, '\t', 5.586924076080322)
(15180000, '\t', 15190000, '\t', 5.567111015319824)
(15510000, '\t', 15560000, '\t', 5.5600714683532715)
(15780000, '\t', 15830000, '\t', 5.486766338348389)
(15180000, '\t', 15380000, '\t', 5.318389415740967)
(15560000, '\t', 15780000, '\t', 5.232628345489502)
(15780000, '\t', 17220000, '\t', 5.187908172607422)
(15380000, '\t', 15450000, '\t', 5.155126571655273)
(15380000, '\t', 15450000, '\t', 5.155126571655273)
(15460000, '\t', 15560000, '\t', 5.098327159881592)
(15460000, '\t', 15560000, '\t', 5.098327159881592)
(15060000, '\t', 15360000, '\t', 5.006593704223633)
(15770000, '\t', 15820000, '\t', 4.997993469238281)
(15570000, '\t', 15770000, '\t', 4.946636199951172)
(15510000, '\t', 15750000, '\t', 4.922274589538574)
(15820000, '\t', 16930000, '\t', 4.846177101135254)
(15180000, '\t', 15430000, '\t', 4.741339206695557)
(15380000, '\t', 15430000, '\t', 4.686651229858398)
(15720000, '\t', 15780000, '\t', 4.635612487792969)
(15720000, '\t', 15780000, '\t', 4.635612487792969)
(15060000, '\t', 15450000, '\t', 4.6132307052612305)
(15060000, '\t', 15450000, '\t', 4.6132307052612305)
(15510000, '\t', 15530000, '\t', 4.603830337524414)
(15510000, '\t', 15530000, '\t', 4.603830337524414)
(15510000, '\t', 15800000, '\t', 4.589488983154297)
(15450000, '\t', 15720000, '\t', 4.479278564453125)
(15450000, '\t', 15720000, '\t', 4.479278564453125)
(15450000, '\t', 15720000, '\t', 4.479278564453125)
(15450000, '\t', 15720000, '\t', 4.479278564453125)
(16630000, '\t', 17220000, '\t', 4.447782516479492)
(17370000, '\t', 17390000, '\t', 4.427798271179199)
(17370000, '\t', 17390000, '\t', 4.427798271179199)
(15580000, '\t', 15780000, '\t', 4.334009647369385)
(15820000, '\t', 16630000, '\t', 4.323024272918701)
(15470000, '\t', 15800000, '\t', 4.317219257354736)
(15450000, '\t', 15470000, '\t', 4.303106307983398)
(15450000, '\t', 15470000, '\t', 4.303106307983398)
(15430000, '\t', 15470000, '\t', 4.2786030769348145)
(15070000, '\t', 15380000, '\t', 4.224021911621094)
(15570000, '\t', 15620000, '\t', 4.2025275230407715)
(15060000, '\t', 15370000, '\t', 4.183928966522217)
(15430000, '\t', 15450000, '\t', 4.136211395263672)
(15430000, '\t', 15450000, '\t', 4.136211395263672)
(15460000, '\t', 15510000, '\t', 4.0358567237854)
(15460000, '\t', 15510000, '\t', 4.0358567237854)
(15570000, '\t', 16630000, '\t', 4.011190414428711)
(15070000, '\t', 15370000, '\t', 3.984752655029297)
(15360000, '\t', 15460000, '\t', 3.9830286502838135)
(15360000, '\t', 15460000, '\t', 3.9830286502838135)
(15620000, '\t', 15820000, '\t', 3.9630818367004395)
(15620000, '\t', 15800000, '\t', 3.879648447036743)
(15190000, '\t', 15380000, '\t', 3.8686769008636475)
(16460000, '\t', 16630000, '\t', 3.846999406814575)
(15370000, '\t', 15470000, '\t', 3.841495990753174)
(15450000, '\t', 15560000, '\t', 3.792120933532715)
(15450000, '\t', 15560000, '\t', 3.792120933532715)
(15750000, '\t', 15820000, '\t', 3.7450215816497803)
(15070000, '\t', 15450000, '\t', 3.7279181480407715)
(15070000, '\t', 15450000, '\t', 3.7279181480407715)
(15580000, '\t', 16630000, '\t', 3.7157044410705566)
(15570000, '\t', 15720000, '\t', 3.709115505218506)
(15570000, '\t', 15720000, '\t', 3.709115505218506)
(15720000, '\t', 15770000, '\t', 3.675837993621826)
(15720000, '\t', 15770000, '\t', 3.675837993621826)
(15180000, '\t', 15370000, '\t', 3.6488215923309326)
(16930000, '\t', 17380000, '\t', 3.5481514930725098)
(15450000, '\t', 15530000, '\t', 3.4888205528259277)
(15450000, '\t', 15530000, '\t', 3.4888205528259277)
(15450000, '\t', 15530000, '\t', 3.4888205528259277)
(15450000, '\t', 15530000, '\t', 3.4888205528259277)
(15180000, '\t', 15510000, '\t', 3.441030263900757)
(15530000, '\t', 15770000, '\t', 3.4356436729431152)
(15530000, '\t', 15770000, '\t', 3.4356436729431152)
(15410000, '\t', 16920000, '\t', 3.404736280441284)
(15060000, '\t', 15430000, '\t', 3.3285715579986572)
(15510000, '\t', 15570000, '\t', 3.3142952919006348)
(16920000, '\t', 17380000, '\t', 3.312516689300537)
(15460000, '\t', 16630000, '\t', 3.2563159465789795)
(15460000, '\t', 16630000, '\t', 3.2563159465789795)
(15180000, '\t', 15470000, '\t', 3.2368924617767334)
(15380000, '\t', 15470000, '\t', 3.199556827545166)
(15620000, '\t', 16920000, '\t', 3.1417734622955322)
(15830000, '\t', 16630000, '\t', 3.136003255844116)
(15470000, '\t', 15510000, '\t', 3.105199098587036)
(15380000, '\t', 16220000, '\t', 3.096607208251953)
(15750000, '\t', 17220000, '\t', 3.082479476928711)
(15360000, '\t', 15470000, '\t', 3.0645532608032227)
(15580000, '\t', 17390000, '\t', 3.017334222793579)
(15580000, '\t', 17390000, '\t', 3.017334222793579)
(15190000, '\t', 15370000, '\t', 2.9859840869903564)
(15570000, '\t', 15830000, '\t', 2.926769256591797)
(15470000, '\t', 15780000, '\t', 2.922327995300293)
(15530000, '\t', 15780000, '\t', 2.8884685039520264)
(15530000, '\t', 15780000, '\t', 2.8884685039520264)
(15380000, '\t', 15560000, '\t', 2.8645129203796387)
(15060000, '\t', 15560000, '\t', 2.848223924636841)
(15410000, '\t', 15530000, '\t', 2.8116729259490967)
(15410000, '\t', 15530000, '\t', 2.8116729259490967)
(15580000, '\t', 15820000, '\t', 2.80303692817688)
(15190000, '\t', 15430000, '\t', 2.7714550495147705)
(15430000, '\t', 15580000, '\t', 2.7194812297821045)
(15070000, '\t', 15360000, '\t', 2.6971945762634277)
(16630000, '\t', 16900000, '\t', 2.661473512649536)
(15430000, '\t', 15510000, '\t', 2.599107027053833)
(15470000, '\t', 17220000, '\t', 2.592761278152466)
(15530000, '\t', 15750000, '\t', 2.574345111846924)
(15530000, '\t', 15750000, '\t', 2.574345111846924)
(15180000, '\t', 15720000, '\t', 2.567298412322998)
(15180000, '\t', 15720000, '\t', 2.567298412322998)
(15070000, '\t', 15180000, '\t', 2.492765426635742)
(15530000, '\t', 16630000, '\t', 2.476389169692993)
(15530000, '\t', 16630000, '\t', 2.476389169692993)
(15370000, '\t', 15580000, '\t', 2.4416558742523193)
(15180000, '\t', 15580000, '\t', 2.4002649784088135)
(15060000, '\t', 15180000, '\t', 2.3502871990203857)
(15560000, '\t', 15620000, '\t', 2.350057601928711)
(15470000, '\t', 15720000, '\t', 2.3167405128479004)
(15470000, '\t', 15720000, '\t', 2.3167405128479004)
(15360000, '\t', 15580000, '\t', 2.2724692821502686)
(15360000, '\t', 15530000, '\t', 2.2717840671539307)
(15360000, '\t', 15530000, '\t', 2.2717840671539307)
(17370000, '\t', 17400000, '\t', 2.24552321434021)
(17370000, '\t', 17400000, '\t', 2.24552321434021)
(15560000, '\t', 16630000, '\t', 2.2430615425109863)
(15360000, '\t', 15510000, '\t', 2.1718814373016357)
(16900000, '\t', 17390000, '\t', 2.1612472534179688)
(16900000, '\t', 17390000, '\t', 2.1612472534179688)
(15370000, '\t', 15460000, '\t', 2.1397836208343506)
(15370000, '\t', 15460000, '\t', 2.1397836208343506)
(15370000, '\t', 15410000, '\t', 2.1377615928649902)
(15190000, '\t', 15450000, '\t', 2.133942127227783)
(15190000, '\t', 15450000, '\t', 2.133942127227783)
(15370000, '\t', 15450000, '\t', 2.1220862865448)
(15370000, '\t', 15450000, '\t', 2.1220862865448)
(15830000, '\t', 16460000, '\t', 2.105225086212158)
(15620000, '\t', 15750000, '\t', 2.080482006072998)
(15380000, '\t', 15460000, '\t', 2.079247236251831)
(15380000, '\t', 15460000, '\t', 2.079247236251831)
(15380000, '\t', 15410000, '\t', 2.077282428741455)
(15560000, '\t', 15770000, '\t', 2.074622869491577)
(15060000, '\t', 15410000, '\t', 2.065469980239868)
(15070000, '\t', 15510000, '\t', 2.0497260093688965)
(15800000, '\t', 17380000, '\t', 2.0452466011047363)
(15820000, '\t', 16900000, '\t', 2.007750988006592)
(15360000, '\t', 15450000, '\t', 1.9750434160232544)
(15360000, '\t', 15450000, '\t', 1.9750434160232544)
(15190000, '\t', 15530000, '\t', 1.963645100593567)
(15190000, '\t', 15530000, '\t', 1.963645100593567)
(15530000, '\t', 15620000, '\t', 1.9458861351013184)
(15530000, '\t', 15620000, '\t', 1.9458861351013184)
(15510000, '\t', 15830000, '\t', 1.9433708190917969)
(15530000, '\t', 15560000, '\t', 1.9386082887649536)
(15530000, '\t', 15560000, '\t', 1.9386082887649536)
(15060000, '\t', 15190000, '\t', 1.9233388900756836)
(15510000, '\t', 15620000, '\t', 1.8603150844573975)
(15570000, '\t', 15750000, '\t', 1.8532698154449463)
(15580000, '\t', 17370000, '\t', 1.7677329778671265)
(15800000, '\t', 17370000, '\t', 1.7616946697235107)
(15360000, '\t', 16630000, '\t', 1.752374529838562)
(15620000, '\t', 15780000, '\t', 1.7507578134536743)
(15780000, '\t', 16920000, '\t', 1.7488651275634766)
(15470000, '\t', 15750000, '\t', 1.7363486289978027)
(15190000, '\t', 15410000, '\t', 1.7197637557983398)
(15560000, '\t', 15820000, '\t', 1.6921111345291138)
(15780000, '\t', 16630000, '\t', 1.6710474491119385)
(15530000, '\t', 16460000, '\t', 1.662420630455017)
(15530000, '\t', 16460000, '\t', 1.662420630455017)
(15510000, '\t', 15770000, '\t', 1.642280101776123)
(15430000, '\t', 15560000, '\t', 1.6416709423065186)
(15180000, '\t', 15530000, '\t', 1.599694013595581)
(15180000, '\t', 15530000, '\t', 1.599694013595581)
(15470000, '\t', 15570000, '\t', 1.5588380098342896)
(15560000, '\t', 15750000, '\t', 1.5545254945755005)
(16630000, '\t', 16920000, '\t', 1.4993658065795898)
(15830000, '\t', 17370000, '\t', 1.4919421672821045)
(15820000, '\t', 16460000, '\t', 1.4510412216186523)
(15770000, '\t', 15830000, '\t', 1.450255274772644)
(15470000, '\t', 15530000, '\t', 1.4435700178146362)
(15470000, '\t', 15530000, '\t', 1.4435700178146362)
(15380000, '\t', 15620000, '\t', 1.4376333951950073)
(15070000, '\t', 15530000, '\t', 1.4293397665023804)
(15070000, '\t', 15530000, '\t', 1.4293397665023804)
(15190000, '\t', 15360000, '\t', 1.3895400762557983)
(15620000, '\t', 15770000, '\t', 1.3882743120193481)
(15770000, '\t', 16920000, '\t', 1.3867734670639038)
(15370000, '\t', 15430000, '\t', 1.3780288696289062)
(15530000, '\t', 15830000, '\t', 1.3551748991012573)
(15530000, '\t', 15830000, '\t', 1.3551748991012573)
(15510000, '\t', 15820000, '\t', 1.339482069015503)
(15750000, '\t', 16460000, '\t', 1.333056926727295)
(15190000, '\t', 15470000, '\t', 1.3244426250457764)
(15470000, '\t', 15560000, '\t', 1.3075555562973022)
(15380000, '\t', 15750000, '\t', 1.267962098121643)
(15070000, '\t', 15460000, '\t', 1.2530022859573364)
(15070000, '\t', 15460000, '\t', 1.2530022859573364)
(15070000, '\t', 15410000, '\t', 1.251818299293518)
(15380000, '\t', 16460000, '\t', 1.2282072305679321)
(15070000, '\t', 15430000, '\t', 1.2104074954986572)
(15190000, '\t', 15560000, '\t', 1.1857526302337646)
(16630000, '\t', 17400000, '\t', 1.1800001859664917)
(16630000, '\t', 17400000, '\t', 1.1800001859664917)
(15360000, '\t', 16460000, '\t', 1.1763836145401)
(15180000, '\t', 15360000, '\t', 1.1319961547851562)
(15470000, '\t', 16460000, '\t', 1.1212722063064575)
(15370000, '\t', 15780000, '\t', 1.0980751514434814)
(15750000, '\t', 15830000, '\t', 1.0866836309432983)
(15180000, '\t', 15780000, '\t', 1.079460620880127)
(15180000, '\t', 15450000, '\t', 1.0430563688278198)
(15180000, '\t', 15450000, '\t', 1.0430563688278198)
(15370000, '\t', 15830000, '\t', 1.0303620100021362)
(15360000, '\t', 15780000, '\t', 1.0219876766204834)
(15070000, '\t', 15770000, '\t', 1.0197490453720093)
(15530000, '\t', 17390000, '\t', 1.0054748058319092)
(15530000, '\t', 17390000, '\t', 1.0054748058319092)
(15530000, '\t', 17390000, '\t', 1.0054748058319092)
(15530000, '\t', 17390000, '\t', 1.0054748058319092)
(15450000, '\t', 15510000, '\t', 1.0006194114685059)
(15450000, '\t', 15510000, '\t', 1.0006194114685059)
